,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
1247,2022-05-30 09:20:08+00:00,https://twitter.com/des_cause/status/1531203798303129600,des_cause,Twitter for Android,,"Bjr #EspaceGG

Si @Cellou_UFDG refuse de rentrer en Guinée pendant que personne ne l'a chassé, c'est qu'il se reproche d'un fait auquel il serait coupable Qu'il rentre en Guinée qu'on face cette transition et la refondation de l'Etat ensemble
O k échéant Prési CDD pas pour 20ans",0,0,0,0
1248,2022-05-30 09:16:20+00:00,https://twitter.com/SaliouBachir/status/1531202840512937986,SaliouBachir,Twitter for Android,"Guinée,Conakry ","#EspaceGG
Encourager CDD à répondre à cette convocation est une manière de lui dire va en prison, à partir du moment où même la procédure de convocation est biaisée rien ne justifie de répondre, il faut une garantie de rendre justice pour y aller pour le moment c'est pas le cas.",0,0,0,0
1249,2022-05-30 09:16:07+00:00,https://twitter.com/saa_kolifa/status/1531202786654060544,saa_kolifa,Twitter for Android,Guinée,"Bonjour les #EspaceGG

M. @Cellou_UFDG sait bien qu'il est impliqué dans l'affaire de détournement (@Air_Guinée)...
Je termine en disant ceci, je cite : Accomplir sa mission quand l'histoire nous convoque est la seule chose qui compte et n'a pas de prix.
#espacegg",0,0,0,0
1250,2022-05-30 09:12:59+00:00,https://twitter.com/YoussoufMario/status/1531201998707728384,YoussoufMario,Twitter for Android,,"#EspaceGG
Bonjour les GG. Le peuple de Guinée ne doit en aucun cas cautionner ou même encourager toutes formes de justice qui violerait les procédures judiciaires. Je suis contre cette pratique qui consiste à envoyer des gens en prison sans qu'ils ne soient jugés et condamnés.",0,0,0,0
1251,2022-05-30 09:12:57+00:00,https://twitter.com/AboucrineCisse/status/1531201990801469442,AboucrineCisse,Twitter for Android,ne le 18 09 a tombouctou mali.,Bonjour le GG tout républicain convaincu qui est interpellé par la justice de son pays doit répondre sans arrière pensée c'est un principe élémentaire de la démocratie #ESPACEGG,0,0,0,0
1252,2022-05-30 09:10:40+00:00,https://twitter.com/DialloMLamabank/status/1531201416014045184,DialloMLamabank,Twitter for Android,Guinée,"#EspaceGG bjr
S'il était coupable,  Alpha n'allait pas souffrir pendant 11ans.
Ce que je me demande c'est si la CRIEF est indépendante parceque c'est après la convention du RPG que ses cadres ont été interpellés et après la sortie de CDD on lui voit etre interpellé aussi
Lamabank",3,0,0,0
1253,2022-05-30 09:06:06+00:00,https://twitter.com/espaceTV_gn/status/1531200268393644032,espaceTV_gn,Twitter Media Studio,Guinée,🔴 Suivez en Direct Les Grandes Gueules du 30 Mai 2022. #EspaceGG @espaceTV_gn @LamineGuirassy https://t.co/Fyn7VNq7zL,23,5,0,11
1254,2022-05-28 00:19:15+00:00,https://twitter.com/Ousmane03920533/status/1530342903607873537,Ousmane03920533,Twitter for iPhone,,Bientôt le nouveau single rester brancher 🔥#EspaceGG au trône https://t.co/gNpACf4oFh,3,1,0,0
1255,2022-05-27 10:51:53+00:00,https://twitter.com/barrycentre5/status/1530139723909431297,barrycentre5,Twitter for Android,Guinée,"Ils veulent( @Presidence_gn) lutter contre la corruption mais ne veulent pas montrer l'exemple.
Aucun d'entre eux n'a déclaré ses biens.
C'est incohérent
@kibaro_guinee
#EspaceGG 
@DjomaMedia 
@yadalein",2,1,0,0
1256,2022-05-27 10:17:57+00:00,https://twitter.com/Gadey_Raphael/status/1530131186248556545,Gadey_Raphael,Twitter for Android,Guinea Conakry,"#EspaceGG Suite à la convocation de Cellou a la CRIEF c'est n'est pas vraiment juste, si telle est le cas nous devons allons convoqué tout les membres du gouvernement a commencé du gouvernement du feu Président Ahmed Sekou Touré",0,0,0,0
1257,2022-05-27 10:13:41+00:00,https://twitter.com/DiaraKourouma4/status/1530130111156129793,DiaraKourouma4,Twitter for Android,,"#GG
Bonjour à toutes l'équipe GG.
Les démarches menés  par le CNRD pour traquer tous les dinaussaure économiques devant la justice est une preuve du slogan ""Gouverné autrement"" comme le disait Pr Alpha Condé #EspaceGG 
Diara kourouma depuis Hermakonon",0,0,0,0
1258,2022-05-27 10:11:32+00:00,https://twitter.com/DaoudaB63720059/status/1530129571156303873,DaoudaB63720059,Twitter Web App,,#EspaceGG,0,0,0,0
1259,2022-05-27 10:11:25+00:00,https://twitter.com/SofoyaM/status/1530129541905141761,SofoyaM,Twitter for Android,Villageois ,"Khutba de transition numéro 14👳🏾‍♂️.
Laissons les pèlerins se plaindre du prix du hadj. Nous autres, parlons du prix du mouton et des boubous. Évitons le gaspillage d'énergie 😅. 
#jumamubarak #kibaro  #EspaceGG",0,1,0,0
1260,2022-05-27 10:09:22+00:00,https://twitter.com/alphalelouma/status/1530129023724052485,alphalelouma,Twitter for Android,Guinée,#EspaceGG Bonjour les GG pourquoi vous n'en avez jamais fait écho de la grève des journalistes de la radio espace fm fouta. Sortons de l'hypocrisie pour une fois dans ce pas. ALPHA AMADOU Lelouma,0,0,0,0
1261,2022-05-27 10:03:13+00:00,https://twitter.com/SissokoAboudou/status/1530127475136729088,SissokoAboudou,Twitter for Android,,Bonjour les GG la justice est indépendante  ayant à la justice dans l'affaire dossier air Guinée et rappelez-vous personnes n'est au dessus de la lois  #EspaceGG,0,0,0,0
1262,2022-05-27 10:03:11+00:00,https://twitter.com/BarcaMamou/status/1530127469394681857,BarcaMamou,Twitter Web App,,"Bnjr les GG c'est une grande opportunité qu'offre l'autorité de la transition a CDD de blanchir définitivement ou pas devant l'histoire de la République et les Millitants doivent saisir cette opportunité pour battre campagne au prochain élections 
 #espaceGG",0,0,0,0
